Sl.No,Project Name,Task,Start Date,End Date,Task Duration
"01","QUATTRO DEL MAR MEP CAD PROJECT","   Block 2 - Podium 2 Coordination Drawing","17/10/2025","17/10/2025","00:10:29"
"02","QUATTRO DEL MAR MEP CAD PROJECT","   Block 2 - Podium 1 Coordination Drawing","17/10/2025","17/10/2025","00:10:27"
"03","QUATTRO DEL MAR MEP CAD PROJECT","   Block 2 - Ground Floor Coordination Drawing","17/10/2025","17/10/2025","00:11:00"
"04","QUATTRO DEL MAR MEP CAD PROJECT","   Block 1 - Podium 2 Coordination Drawing","17/10/2025","17/10/2025","00:11:26"
"05","QUATTRO DEL MAR MEP CAD PROJECT","   Block 1 - Podium 1 Coordination Drawing","17/10/2025","17/10/2025","00:11:40"
"06","QUATTRO DEL MAR MEP CAD PROJECT","Block 1 - Ground Floor Coordination Drawing","17/10/2025","17/10/2025","00:11:52"
"07","Others"," TEST 2","-","-","hh:mm:ss"
"08","Others"," TEST 2","-","-","hh:mm:ss"
"09","Others"," TEST 2","-","-","hh:mm:ss"
"10","AECOM-AL AMRAH"," UPGRADE MODELS TO BE PREPARED FOR THE CLIENTS COMMENTS","15/10/2025","15/10/2025","hh:mm:ss"
"11","AECOM-AL AMRAH"," UPGRADE MODELS TO BE PREPARED FOR THE CLIENTS COMMENTS","13/10/2025","15/10/2025","42:27:45"
"12","AECOM-AL AMRAH"," REMOVE ALL XREF FILES AND CLEAN THE PUBLISHED FILES","15/10/2025","15/10/2025","hh:mm:ss"
"13","AECOM-AL AMRAH"," REMOVE ALL XREF FILES AND CLEAN THE PUBLISHED FILES","15/10/2025","15/10/2025","00:06:35"
"14","AECOM-AL AMRAH"," UPDATE COORDINATED FILES IN ACC","15/10/2025","15/10/2025","hh:mm:ss"
"15","AECOM-AL AMRAH"," UPDATE COORDINATED FILES IN ACC","15/10/2025","15/10/2025","00:11:09"
"16","AECOM-AL AMRAH"," ADD LUMINAIRE TO  STREET LIGHTING 3D MODEL","15/10/2025","15/10/2025","hh:mm:ss"
"17","AECOM-AL AMRAH"," ADD LUMINAIRE TO  STREET LIGHTING 3D MODEL","15/10/2025","15/10/2025","00:11:24"
"18","AECOM-AL AMRAH"," COORDINATION ALIGNING THE ANCILLARY MODELS","15/10/2025","15/10/2025","hh:mm:ss"
"19","AECOM-AL AMRAH"," COORDINATION ALIGNING THE ANCILLARY MODELS","15/10/2025","15/10/2025","00:11:07"
"20","AECOM-AL AMRAH"," CREATE DATA SHORTCUT REFERENCE OF MODELS","15/10/2025","15/10/2025","hh:mm:ss"
"21","AECOM-AL AMRAH"," CREATE DATA SHORTCUT REFERENCE OF MODELS","13/10/2025","13/10/2025","00:15:32"
"22","AECOM-AL AMRAH","COORDINATION IRRIGATION AND LIGHTING NETWORK","15/10/2025","13/10/2025","hh:mm:ss"
"23","AECOM-AL AMRAH","COORDINATION IRRIGATION AND LIGHTING NETWORK","15/10/2025","15/10/2025","00:11:02"
"24","AL GURG","Drainage Modeling","13/10/2025","13/10/2025","hh:mm:ss"
"25","AL GURG","Drainage Modeling","-","-","hh:mm:ss"
"26","AL GURG","Drainage Modeling","15/10/2025","15/10/2025","00:00:53"
"27","AL GURG","Drainage Modeling","-","-","hh:mm:ss"
"28","QUATTRO DEL MAR MEP CAD PROJECT","submission","26/07/2025","26/07/2025","00:00:08"
"29","QUATTRO DEL MAR MEP CAD PROJECT","submission","26/07/2025","26/07/2025","00:00:08"
"30","QUATTRO DEL MAR MEP CAD PROJECT","submission","26/07/2025","26/07/2025","00:00:08"
"31","QUATTRO DEL MAR MEP CAD PROJECT","QC/Coordination ","12/07/2025","26/07/2025","328:37:46"
"32","QUATTRO DEL MAR MEP CAD PROJECT","QC/Coordination ","12/07/2025","26/07/2025","328:37:46"
"33","QUATTRO DEL MAR MEP CAD PROJECT","QC/Coordination ","12/07/2025","26/07/2025","328:37:46"
"34","QUATTRO DEL MAR MEP CAD PROJECT","Ground floor MEP coordination drawing","12/07/2025","12/07/2025","hh:mm:ss"
"35","QUATTRO DEL MAR MEP CAD PROJECT","Ground floor MEP coordination drawing","12/07/2025","12/07/2025","hh:mm:ss"
"36","Guggenheim Abu Dhabi","Sheet work","29/09/2025","29/09/2025","00:00:09"
"37","Guggenheim Abu Dhabi","Sheet work","29/09/2025","29/09/2025","00:00:09"
"38","Guggenheim Abu Dhabi","Sheet work","29/09/2025","29/09/2025","00:00:09"
"39","Guggenheim Abu Dhabi","Sheet work","09/06/2025","09/06/2025","hh:mm:ss"
"40","Guggenheim Abu Dhabi","Sheet work","09/06/2025","09/06/2025","hh:mm:ss"
"41","Guggenheim Abu Dhabi","Sheet work","09/06/2025","09/06/2025","hh:mm:ss"
"42","Guggenheim Abu Dhabi","Sheet work","09/06/2025","09/06/2025","hh:mm:ss"
"43","Guggenheim Abu Dhabi","Sheet work","09/06/2025","10/06/2025","21:43:36"
"44","Guggenheim Abu Dhabi","Sheet work","09/06/2025","10/06/2025","21:43:36"
"45","Guggenheim Abu Dhabi","Sheet work","09/06/2025","10/06/2025","21:43:36"
"46","Guggenheim Abu Dhabi","Sheet work","09/06/2025","09/06/2025","hh:mm:ss"
"47","Guggenheim Abu Dhabi","Sheet work","09/06/2025","09/06/2025","hh:mm:ss"
"48","Guggenheim Abu Dhabi","Sheet work","09/06/2025","09/06/2025","hh:mm:ss"
"49","Guggenheim Abu Dhabi","Sheet work","09/06/2025","23/09/2025","2546:45:18"
"50","Guggenheim Abu Dhabi","Sheet work","09/06/2025","23/09/2025","2546:45:18"
"51","Guggenheim Abu Dhabi","Sheet work","-","-","hh:mm:ss"
"52","Guggenheim Abu Dhabi","Sheet work","-","-","hh:mm:ss"
"53","Guggenheim Abu Dhabi","Sheet work","-","-","hh:mm:ss"
"54","Guggenheim Abu Dhabi","Sheet work","-","-","hh:mm:ss"
"55","Guggenheim Abu Dhabi","Sheet work","-","-","hh:mm:ss"
"56","Guggenheim Abu Dhabi","Sheet work","-","-","hh:mm:ss"
"57","Guggenheim Abu Dhabi","Sheet work","-","-","hh:mm:ss"
"58","Guggenheim Abu Dhabi","Bridge 4466","09/06/2025","19/06/2025","231:13:26"
"59","Guggenheim Abu Dhabi","Bridge 4466","09/06/2025","19/06/2025","231:13:26"
"60","Guggenheim Abu Dhabi","Bridge 4466","09/06/2025","19/06/2025","231:13:26"
"61","Guggenheim Abu Dhabi","Sheet work","-","-","hh:mm:ss"
"62","Guggenheim Abu Dhabi","Sheet work","09/06/2025","09/06/2025","hh:mm:ss"
"63","Guggenheim Abu Dhabi","Sheet work","09/06/2025","09/06/2025","hh:mm:ss"
"64","Guggenheim Abu Dhabi","Sheet work","09/06/2025","09/06/2025","hh:mm:ss"
"65","Guggenheim Abu Dhabi","Sheet work","09/06/2025","09/06/2025","hh:mm:ss"
"66","Guggenheim Abu Dhabi","Bridge 3463","-","-","hh:mm:ss"
"67","Guggenheim Abu Dhabi","Bridge 3463","-","-","hh:mm:ss"
"68","Guggenheim Abu Dhabi","Bridge 3463","-","-","hh:mm:ss"
"69","Guggenheim Abu Dhabi","Sheet work","13/11/2025","13/11/2025","00:00:08"
"70","Guggenheim Abu Dhabi","Sheet work","13/11/2025","13/11/2025","00:00:08"
"71","Guggenheim Abu Dhabi","Sheet work","13/11/2025","13/11/2025","00:00:08"
"72","Guggenheim Abu Dhabi","Foot rail","24/03/2025","25/03/2025","25:42:17"
"73","Guggenheim Abu Dhabi","Foot rail","24/03/2025","25/03/2025","25:42:17"
"74","Guggenheim Abu Dhabi","Foot rail","24/03/2025","25/03/2025","25:42:17"
"75","Guggenheim Abu Dhabi","Foot rail","21/03/2025","24/03/2025","70:41:41"
"76","Guggenheim Abu Dhabi","Foot rail","21/03/2025","24/03/2025","70:41:41"
"77","Guggenheim Abu Dhabi","Foot rail","21/03/2025","24/03/2025","70:41:41"
"78","Guggenheim Abu Dhabi","Model","21/03/2025","21/03/2025","05:23:37"
"79","Guggenheim Abu Dhabi","Model","21/03/2025","21/03/2025","05:23:37"
"80","Guggenheim Abu Dhabi","Model","21/03/2025","21/03/2025","05:23:37"
"81","Guggenheim Abu Dhabi","Model","21/03/2025","21/03/2025","05:23:37"
"82","Guggenheim Abu Dhabi","Handrail model","20/03/2025","25/03/2025","121:58:53"
"83","Guggenheim Abu Dhabi","Handrail model","20/03/2025","25/03/2025","121:58:53"
"84","Guggenheim Abu Dhabi","Handrail model","20/03/2025","25/03/2025","121:58:53"
"85","Guggenheim Abu Dhabi","Handrail model","20/03/2025","25/03/2025","121:58:53"
"86","Guggenheim Abu Dhabi","Handrail model","20/03/2025","25/03/2025","117:21:58"
"87","Guggenheim Abu Dhabi","Handrail model","20/03/2025","25/03/2025","117:21:58"
"88","Guggenheim Abu Dhabi","Handrail model","20/03/2025","25/03/2025","117:21:58"
"89","Guggenheim Abu Dhabi","Sheet work","20/03/2025","20/03/2025","02:45:41"
"90","Guggenheim Abu Dhabi","Sheet work","20/03/2025","20/03/2025","02:45:41"
"91","Guggenheim Abu Dhabi","Sheet work","20/03/2025","20/03/2025","02:45:41"
"92","Guggenheim Abu Dhabi","Sheet work","02/05/2025","02/05/2025","00:00:09"
"93","Guggenheim Abu Dhabi","Sheet work","02/05/2025","02/05/2025","00:00:09"
"94","Guggenheim Abu Dhabi","Sheet work","02/05/2025","02/05/2025","00:00:09"
"95","Guggenheim Abu Dhabi","Bracket and LED","03/06/2025","03/06/2025","00:00:34"
"96","Guggenheim Abu Dhabi","Bracket and LED","03/06/2025","03/06/2025","00:00:34"
"97","Guggenheim Abu Dhabi","Bracket and LED","03/06/2025","03/06/2025","00:00:34"
"98","Guggenheim Abu Dhabi","Ramp RT Sheet work updation","21/03/2025","21/03/2025","00:13:07"
"99","Guggenheim Abu Dhabi","Ramp RT Sheet work updation","21/03/2025","21/03/2025","00:13:07"
"100","Guggenheim Abu Dhabi","Ramp RT Sheet work updation","21/03/2025","21/03/2025","00:13:07"
"101","Guggenheim Abu Dhabi","Ramp RU Sheet work updation","21/03/2025","21/03/2025","00:03:04"
"102","Guggenheim Abu Dhabi","Ramp RU Sheet work updation","21/03/2025","21/03/2025","00:03:04"
"103","Guggenheim Abu Dhabi","Ramp RU Sheet work updation","21/03/2025","21/03/2025","00:03:04"
"104","Guggenheim Abu Dhabi","Sheet Work","20/03/2025","20/03/2025","00:10:25"
"105","Guggenheim Abu Dhabi","Sheet Work","20/03/2025","20/03/2025","00:10:25"
"106","Guggenheim Abu Dhabi","Sheet Work","20/03/2025","20/03/2025","00:10:25"
"107","Prestige Park Grove_Villa, Club House","Dylan Newton","12/03/2025","12/03/2025","00:00:09"
"108","Prestige Park Grove_Tower 1 to 19","Rowan Robinson","05/03/2025","05/03/2025","00:00:34"
"109","Prestige Park Grove_Tower 1 to 19","Deanna Payne","04/03/2025","04/03/2025","00:00:29"
"110","Prestige Park Grove_Tower 1 to 19","PPG_T19_3RD FLOOR_MODELLING","-","-","hh:mm:ss"
"111","Prestige Park Grove_Tower 1 to 19","PPG_T17_3RD FLOOR_MODELLING","24/10/2024","24/10/2024","hh:mm:ss"
"112","Prestige Park Grove_Tower 1 to 19","PPG_T15_3RD FLOOR_MODELLING","24/10/2024","24/10/2024","hh:mm:ss"
"113","Prestige Park Grove_Tower 1 to 19","PPG_T13_3RD FLOOR_MODELLING","24/10/2024","24/10/2024","00:01:12"
"114","Prestige Park Grove_Tower 1 to 19","PPG_T18_REFUGE AREA_MODELLING","-","-","hh:mm:ss"
"115","Prestige Park Grove_Tower 1 to 19","PPG_T17_REFUGE AREA_MODELLING","24/10/2024","24/10/2024","hh:mm:ss"
"116","Prestige Park Grove_Tower 1 to 19","PPG_T15_REFUGE AREA_MODELLING","24/10/2024","24/10/2024","hh:mm:ss"
"117","Prestige Park Grove_Tower 1 to 19","PPG_T11_3RD FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:08"
"118","Prestige Park Grove_Tower 1 to 19","PPG_T9_3RD FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:09"
"119","Prestige Park Grove_Tower 1 to 19","PPG_T7_3RD FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:38"
"120","Prestige Park Grove_Tower 1 to 19","PPG_T5_3RD FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:20"
"121","Prestige Park Grove_Tower 1 to 19","PPG_T13_REFUGE AREA_MODELLING","24/10/2024","24/10/2024","00:00:10"
"122","Prestige Park Grove_Tower 1 to 19","PPG_T3_3RD FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:23"
"123","Prestige Park Grove_Tower 1 to 19","PPG_T1_3RD FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:25"
"124","Prestige Park Grove_Tower 1 to 19","PPG_T11_REFUGE AREA_MODELLING","24/10/2024","24/10/2024","00:03:19"
"125","Prestige Park Grove_Tower 1 to 19","PPG_T9_REFUGE AREA_MODELLING","24/10/2024","24/10/2024","00:02:05"
"126","Prestige Park Grove_Tower 1 to 19","PPG_T7_REFUGE AREA_MODELLING","24/10/2024","24/10/2024","00:02:24"
"127","Prestige Park Grove_Tower 1 to 19","PPG_T5_REFUGE AREA_MODELLING","24/10/2024","24/10/2024","00:02:52"
"128","Prestige Park Grove_Tower 1 to 19","PPG_T19_2ND FLOOR_MODELING","-","-","hh:mm:ss"
"129","Prestige Park Grove_Tower 1 to 19","PPG_T3_REFUGE AREA_MODELLING","24/10/2024","24/10/2024","00:00:54"
"130","Prestige Park Grove_Tower 1 to 19","PPG_T1_REFUGE AREA_MODELLING","24/10/2024","24/10/2024","00:00:07"
"131","Prestige Park Grove_Tower 1 to 19","PPG_T17_2ND FLOOR_MODELING","24/10/2024","24/10/2024","00:00:10"
"132","Prestige Park Grove_Tower 1 to 19","PPG_T15_2ND FLOOR_MODELING","24/10/2024","24/10/2024","00:00:10"
"133","Prestige Park Grove_Tower 1 to 19","PPG_T13_2ND FLOOR_MODELING","24/10/2024","24/10/2024","00:00:13"
"134","Prestige Park Grove_Tower 1 to 19","PPG_T11_2ND FLOOR_MODELING","24/10/2024","24/10/2024","00:00:10"
"135","Prestige Park Grove_Villa, Club House","PPG_A&D_2nd floor_Modelling","05/03/2025","20/03/2025","362:05:24"
"136","Prestige Park Grove_Villa, Club House","PPG_A&D_2nd floor_Modelling","05/03/2025","20/03/2025","362:05:24"
"137","Prestige Park Grove_Villa, Club House","PPG_A&D_2nd floor_Modelling","05/03/2025","20/03/2025","362:05:24"
"138","Prestige Park Grove_Tower 1 to 19","PPG_T9_2ND FLOOR_MODELING","24/10/2024","24/10/2024","00:00:10"
"139","Prestige Park Grove_Villa, Club House","PPG_CCH_Petal 3_Modelling","24/10/2024","24/10/2024","00:00:09"
"140","Prestige Park Grove_Villa, Club House","PPG_CCH_Petal 3_Modelling","24/10/2024","24/10/2024","00:00:09"
"141","Prestige Park Grove_Villa, Club House","PPG_CCH_Petal 3_Modelling","24/10/2024","24/10/2024","00:00:09"
"142","Prestige Park Grove_Tower 1 to 19","PPG_T7_2ND FLOOR_MODELING","24/10/2024","24/10/2024","00:00:08"
"143","Prestige Park Grove_Tower 1 to 19","PPG_T19_4TH FLOOR_MODELLING","-","-","hh:mm:ss"
"144","Prestige Park Grove_Tower 1 to 19","PPG_T5_2ND FLOOR_MODELING","24/10/2024","24/10/2024","00:00:09"
"145","Prestige Park Grove_Tower 1 to 19","PPG_T3_2ND FLOOR_MODELING","24/10/2024","24/10/2024","00:00:09"
"146","Prestige Park Grove_Tower 1 to 19","PPG_T1_2ND FLOOR_MODELING","24/10/2024","24/10/2024","00:00:12"
"147","Prestige Park Grove_Tower 1 to 19","PPG_T17_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","hh:mm:ss"
"148","Prestige Park Grove_Tower 1 to 19","PPG_T15_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:47:16"
"149","Prestige Park Grove_Villa, Club House","PPG_Villa Royal_1st floor Modelling","24/10/2024","24/10/2024","00:00:13"
"150","Prestige Park Grove_Tower 1 to 19","PPG_T13_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:01:14"
"151","Prestige Park Grove_Tower 1 to 19","PPG_T18_1st floor Modelling","-","-","hh:mm:ss"
"152","Prestige Park Grove_Tower 1 to 19","PPG_T16_1st floor Modelling","24/10/2024","24/10/2024","00:56:43"
"153","Prestige Park Grove_Tower 1 to 19","PPG_T14_1st floor Modelling","24/10/2024","24/10/2024","00:58:05"
"154","Prestige Park Grove_Tower 1 to 19","PPG_T11_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:04:36"
"155","Prestige Park Grove_Tower 1 to 19","PPG_T9_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:08"
"156","Prestige Park Grove_Tower 1 to 19","PPG_T5_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:18"
"157","Prestige Park Grove_Tower 1 to 19","PPG_T7_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:08"
"158","Prestige Park Grove_Tower 1 to 19","PPG_T3_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:04:20"
"159","Prestige Park Grove_Tower 1 to 19","PPG_T12_1st floor Modelling","24/10/2024","24/10/2024","00:00:10"
"160","Prestige Park Grove_Tower 1 to 19","PPG_T10_1st floor Modelling","24/10/2024","24/10/2024","00:00:15"
"161","Prestige Park Grove_Tower 1 to 19","PPG_T1_4TH FLOOR_MODELLING","24/10/2024","24/10/2024","00:00:12"
"162","Prestige Park Grove_Tower 1 to 19","PPG_T19_Ground Floor_Modeling","-","-","hh:mm:ss"
"163","Prestige Park Grove_Tower 1 to 19","PPG_T19_Ground Floor_Modeling","-","-","hh:mm:ss"
"164","Prestige Park Grove_Tower 1 to 19","PPG_T8_1st floor Modelling","24/10/2024","24/10/2024","00:00:14"
"165","Prestige Park Grove_Tower 1 to 19","PPG_T18_Terrace floor_Modelling","20/03/2025","20/03/2025","00:00:34"
"166","Prestige Park Grove_Tower 1 to 19","PPG_T18_Terrace floor_Modelling","20/03/2025","20/03/2025","00:00:34"
"167","Prestige Park Grove_Tower 1 to 19","PPG_T18_Terrace floor_Modelling","20/03/2025","20/03/2025","00:00:34"
"168","Prestige Park Grove_Tower 1 to 19","PPG_T17_Ground Floor_Modeling","24/10/2024","24/10/2024","02:13:58"
"169","Prestige Park Grove_Tower 1 to 19","PPG_T17_Ground Floor_Modeling","24/10/2024","24/10/2024","02:13:58"
"170","Prestige Park Grove_Tower 1 to 19","PPG_T15_Ground Floor_Modeling","24/10/2024","24/10/2024","02:15:42"
"171","Prestige Park Grove_Tower 1 to 19","PPG_T15_Ground Floor_Modeling","24/10/2024","24/10/2024","02:15:42"
"172","Prestige Park Grove_Tower 1 to 19","PPG_T6_1st floor Modelling","24/10/2024","24/10/2024","00:00:11"
"173","Prestige Park Grove_Tower 1 to 19","PPG_T13_Ground Floor_Modeling","24/10/2024","24/10/2024","00:00:11"
"174","Prestige Park Grove_Tower 1 to 19","PPG_T13_Ground Floor_Modeling","24/10/2024","24/10/2024","00:00:11"
"175","Prestige Park Grove_Tower 1 to 19","PPG_T16_Terrace floor_Modelling","24/10/2024","20/03/2025","3528:37:51"
"176","Prestige Park Grove_Tower 1 to 19","PPG_T16_Terrace floor_Modelling","24/10/2024","20/03/2025","3528:37:51"
"177","Prestige Park Grove_Tower 1 to 19","PPG_T16_Terrace floor_Modelling","24/10/2024","20/03/2025","3528:37:51"
"178","Prestige Park Grove_Tower 1 to 19","PPG_T11_Ground Floor_Modeling","24/10/2024","24/10/2024","00:00:14"
"179","Prestige Park Grove_Tower 1 to 19","PPG_T11_Ground Floor_Modeling","24/10/2024","24/10/2024","00:00:14"
"180","Prestige Park Grove_Tower 1 to 19","PPG_T4_1st floor Modelling","24/10/2024","24/10/2024","00:00:19"
"181","Prestige Park Grove_Tower 1 to 19","PPG_T14_Terrace floor_Modelling","24/10/2024","20/03/2025","3528:38:44"
"182","Prestige Park Grove_Tower 1 to 19","PPG_T14_Terrace floor_Modelling","24/10/2024","20/03/2025","3528:38:44"
"183","Prestige Park Grove_Tower 1 to 19","PPG_T14_Terrace floor_Modelling","24/10/2024","20/03/2025","3528:38:44"
"184","Prestige Park Grove_Tower 1 to 19","PPG_T9_Ground Floor_Modeling","24/10/2024","24/10/2024","00:00:12"
"185","Prestige Park Grove_Tower 1 to 19","PPG_T9_Ground Floor_Modeling","24/10/2024","24/10/2024","00:00:12"
"186","Prestige Park Grove_Villa, Club House","PPG_CCH_Petal 2_Modelling","24/10/2024","24/10/2024","01:58:57"
"187","Prestige Park Grove_Tower 1 to 19","PPG_T7_Ground Floor_Modeling","24/10/2024","24/10/2024","00:00:11"
"188","Prestige Park Grove_Tower 1 to 19","PPG_T7_Ground Floor_Modeling","24/10/2024","24/10/2024","00:00:11"
"189","Prestige Park Grove_Tower 1 to 19","PPG_T18_2nd FLOOR_Modelling","-","-","hh:mm:ss"
"190","Prestige Park Grove_Tower 1 to 19","PPG_T18_2nd FLOOR_Modelling","-","-","hh:mm:ss"
"191","Prestige Park Grove_Tower 1 to 19","PPG_T12_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:10"
"192","Prestige Park Grove_Tower 1 to 19","PPG_T12_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:10"
"193","Prestige Park Grove_Tower 1 to 19","PPG_T12_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:10"
"194","Prestige Park Grove_Tower 1 to 19","PPG_T5_Ground Floor_Modeling","24/10/2024","24/10/2024","00:00:10"
"195","Prestige Park Grove_Tower 1 to 19","PPG_T5_Ground Floor_Modeling","24/10/2024","24/10/2024","00:00:10"
"196","Prestige Park Grove_Tower 1 to 19","PPG_T10_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:18"
"197","Prestige Park Grove_Tower 1 to 19","PPG_T10_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:18"
"198","Prestige Park Grove_Tower 1 to 19","PPG_T10_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:18"
"199","Prestige Park Grove_Villa, Club House","PPG_CCH_Petal 4_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"200","Prestige Park Grove_Villa, Club House","PPG_CCH_Petal 4_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"201","Prestige Park Grove_Tower 1 to 19","PPG_Basement","24/10/2024","24/10/2024","hh:mm:ss"
"202","Prestige Park Grove_Tower 1 to 19","PPG_T3_Ground Floor_Modeling","24/10/2024","24/10/2024","00:00:13"
"203","Prestige Park Grove_Tower 1 to 19","PPG_T3_Ground Floor_Modeling","24/10/2024","24/10/2024","00:00:13"
"204","Prestige Park Grove_Tower 1 to 19","PPG_T19_Terrace floor_Modelling","-","-","hh:mm:ss"
"205","Prestige Park Grove_Tower 1 to 19","PPG_T19_Terrace floor_Modelling","-","-","hh:mm:ss"
"206","Prestige Park Grove_Villa, Club House","PPG_V Ultima_Ground floor_Modelling","24/10/2024","24/10/2024","00:00:08"
"207","Prestige Park Grove_Villa, Club House","PPG_V Ultima_Ground floor_Modelling","24/10/2024","24/10/2024","00:00:08"
"208","Prestige Park Grove_Tower 1 to 19","PPG_T8_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:10"
"209","Prestige Park Grove_Tower 1 to 19","PPG_T8_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:10"
"210","Prestige Park Grove_Tower 1 to 19","PPG_T8_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:10"
"211","Prestige Park Grove_Tower 1 to 19","PPG_T17_Terrace floor_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"212","Prestige Park Grove_Tower 1 to 19","PPG_T17_Terrace floor_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"213","Prestige Park Grove_Tower 1 to 19","PPG_T16_Refuge area_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"214","Prestige Park Grove_Tower 1 to 19","PPG_T15_Terrace floor_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"215","Prestige Park Grove_Tower 1 to 19","PPG_T15_Terrace floor_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"216","Prestige Park Grove_Tower 1 to 19","PPG_T1_Ground Floor_Modeling","24/10/2024","24/10/2024","00:01:11"
"217","Prestige Park Grove_Tower 1 to 19","PPG_T1_Ground Floor_Modeling","24/10/2024","24/10/2024","00:01:11"
"218","Prestige Park Grove_Tower 1 to 19","PPG_T6_Terrace floor_Modelling","24/10/2024","24/10/2024","00:02:01"
"219","Prestige Park Grove_Tower 1 to 19","PPG_T6_Terrace floor_Modelling","24/10/2024","24/10/2024","00:02:01"
"220","Prestige Park Grove_Tower 1 to 19","PPG_T6_Terrace floor_Modelling","24/10/2024","24/10/2024","00:02:01"
"221","Prestige Park Grove_Tower 1 to 19","PPG_T14_Refuge area_Modelling","24/10/2024","24/10/2024","hh:mm:ss"
"222","Prestige Park Grove_Tower 1 to 19","PPG_T4_Terrace floor_Modelling","24/10/2024","24/10/2024","00:01:12"
"223","Prestige Park Grove_Tower 1 to 19","PPG_T4_Terrace floor_Modelling","24/10/2024","24/10/2024","00:01:12"
"224","Prestige Park Grove_Tower 1 to 19","PPG_T4_Terrace floor_Modelling","24/10/2024","24/10/2024","00:01:12"
"225","Prestige Park Grove_Tower 1 to 19","PPG_T13_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:44"
"226","Prestige Park Grove_Tower 1 to 19","PPG_T13_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:44"
"227","Prestige Park Grove_Tower 1 to 19","PPG_T2_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:28"
"228","Prestige Park Grove_Tower 1 to 19","PPG_T2_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:28"
"229","Prestige Park Grove_Tower 1 to 19","PPG_T2_Terrace floor_Modelling","24/10/2024","24/10/2024","00:00:28"
"230","Prestige Park Grove_Tower 1 to 19","PPG_T16_2nd floor_Modelling","24/10/2024","24/10/2024","02:39:43"
"231","Prestige Park Grove_Tower 1 to 19","PPG_T16_2nd floor_Modelling","24/10/2024","24/10/2024","02:39:43"
"232","Prestige Park Grove_Tower 1 to 19","PPG_T14_2nd floor_Modelling","24/10/2024","24/10/2024","02:41:23"
"233","Prestige Park Grove_Tower 1 to 19","PPG_T14_2nd floor_Modelling","24/10/2024","24/10/2024","02:41:23"
"234","Prestige Park Grove_Tower 1 to 19","PPG_T12_Refuge area_Modelling","24/10/2024","24/10/2024","00:01:06"
"235","Prestige Park Grove_Villa, Club House","VILLA ROYAL GROUND FLOOR ","24/10/2024","24/10/2024","00:00:17"
